source_id,target_id,edge_type
PARTE-1001,PROC-1001,parte_em
PARTE-1001,PROC-1002,parte_em
PARTE-1002,PROC-1003,parte_em
PARTE-1002,PROC-1004,parte_em
PARTE-1002,PROC-1006,parte_em
PARTE-1006,PROC-1007,parte_em
PARTE-1006,PROC-1008,parte_em
PARTE-1001,PROC-1010,parte_em
PARTE-1003,PROC-1001,parte_em
PARTE-1003,PROC-1002,parte_em
PARTE-1003,PROC-1007,parte_em
PARTE-1003,PROC-1010,parte_em
PARTE-1004,PROC-1003,parte_em
PARTE-1004,PROC-1004,parte_em
PARTE-1004,PROC-1008,parte_em
PARTE-1005,PROC-1005,parte_em
PARTE-1005,PROC-1006,parte_em
PARTE-1005,PROC-1009,parte_em
ADV-1001,PARTE-1001,representa
ADV-1001,PARTE-1002,representa
ADV-1001,PARTE-1006,representa
ADV-1002,PARTE-1003,representa
ADV-1002,PARTE-1004,representa
ADV-1003,PARTE-1005,representa
